ID,State,City,Locality,Property_Type,BHK,Size_in_SqFt,Price_in_Lakhs,Price_per_SqFt,Year_Built,Furnished_Status,Floor_No,Total_Floors,Age_of_Property,Nearby_Schools,Nearby_Hospitals,Public_Transport_Accessibility,Parking_Space,Security,Amenities,Facing,Owner_Type,Availability_Status
103924,Tamil Nadu,Coimbatore,Locality_476,Apartment,1.0,1863.0,39.32,0.02,1992.0,Furnished,10.0,8.0,33.0,6.0,9.0,Medium,Yes,No,Gym,West,Builder,Under_Construction
148336,Odisha,Cuttack,Locality_220,Apartment,4.0,3869.0,219.68,0.06,2002.0,Furnished,27.0,12.0,23.0,10.0,9.0,Low,No,Yes,"Playground, Pool, Clubhouse",South,Builder,Ready_to_Move
128112,Punjab,Amritsar,Locality_373,Apartment,1.0,4807.0,404.06,0.08,1991.0,Furnished,24.0,18.0,34.0,4.0,8.0,Low,Yes,No,"Garden, Clubhouse",West,Broker,Ready_to_Move
123236,Punjab,Ludhiana,Locality_6,Apartment,4.0,1645.0,61.57,0.04,2000.0,Unfurnished,4.0,24.0,25.0,1.0,5.0,Medium,Yes,Yes,"Playground, Garden, Pool",West,Broker,Ready_to_Move
204812,Andhra Pradesh,Vijayawada,Locality_463,Independent House,1.0,672.0,283.26,0.42,2018.0,Furnished,23.0,18.0,7.0,8.0,3.0,High,Yes,Yes,Clubhouse,West,Builder,Ready_to_Move
95514,Maharashtra,Pune,Locality_414,Apartment,1.0,4043.0,425.18,0.11,2007.0,Unfurnished,27.0,27.0,18.0,9.0,2.0,Low,No,Yes,"Clubhouse, Pool, Playground",North,Broker,Ready_to_Move
209202,Maharashtra,Nagpur,Locality_318,Villa,4.0,3268.0,171.47,0.05,2003.0,Unfurnished,16.0,2.0,22.0,8.0,3.0,High,No,No,"Pool, Gym, Clubhouse, Garden",North,Broker,Ready_to_Move
80387,Punjab,Amritsar,Locality_160,Apartment,5.0,4440.0,384.92,0.09,1993.0,Semi-furnished,27.0,25.0,32.0,10.0,1.0,High,Yes,Yes,"Gym, Pool, Playground, Garden",South,Broker,Ready_to_Move
50543,Uttar Pradesh,Noida,Locality_108,Apartment,1.0,3305.0,280.64,0.08,2013.0,Semi-furnished,17.0,8.0,12.0,5.0,1.0,Low,No,No,"Clubhouse, Pool, Garden",South,Owner,Under_Construction
71941,Bihar,Gaya,Locality_352,Independent House,2.0,3203.0,22.24,0.01,1994.0,Unfurnished,16.0,17.0,31.0,8.0,8.0,Low,Yes,No,Pool,South,Builder,Ready_to_Move
155646,Odisha,Bhubaneswar,Locality_472,Apartment,4.0,3409.0,119.79,0.04,2006.0,Unfurnished,8.0,12.0,19.0,10.0,7.0,Low,Yes,Yes,"Playground, Clubhouse",West,Owner,Ready_to_Move
139953,Tamil Nadu,Chennai,Locality_114,Independent House,5.0,1016.0,159.01,0.16,2004.0,Semi-furnished,10.0,25.0,21.0,4.0,2.0,Medium,No,No,"Clubhouse, Pool, Gym, Garden, Playground",North,Broker,Under_Construction
93460,Gujarat,Surat,Locality_1,Independent House,2.0,4347.0,430.52,0.1,2008.0,Furnished,26.0,18.0,17.0,1.0,2.0,High,Yes,No,"Garden, Playground, Pool, Gym",South,Builder,Under_Construction
92825,Delhi,New Delhi,Locality_276,Independent House,4.0,917.0,244.98,0.27,2009.0,Furnished,29.0,16.0,16.0,8.0,7.0,Low,Yes,No,"Gym, Playground, Pool, Clubhouse, Garden",West,Broker,Under_Construction
228611,Chhattisgarh,Bilaspur,Locality_118,Villa,4.0,1815.0,251.56,0.14,1998.0,Semi-furnished,16.0,29.0,27.0,8.0,4.0,Medium,Yes,No,"Clubhouse, Garden, Gym, Pool",North,Broker,Under_Construction
232558,Tamil Nadu,Coimbatore,Locality_360,Villa,4.0,4422.0,186.32,0.04,2021.0,Semi-furnished,7.0,24.0,4.0,4.0,10.0,Medium,No,No,"Playground, Garden, Clubhouse, Gym, Pool",South,Owner,Ready_to_Move
195988,Gujarat,Surat,Locality_391,Independent House,2.0,4046.0,223.52,0.06,2021.0,Furnished,2.0,16.0,4.0,5.0,10.0,Low,Yes,Yes,"Gym, Playground, Garden",West,Builder,Ready_to_Move
193578,West Bengal,Durgapur,Locality_183,Villa,4.0,854.0,183.49,0.21,1993.0,Unfurnished,16.0,27.0,32.0,6.0,9.0,Low,No,No,"Gym, Clubhouse, Playground, Garden, Pool",North,Owner,Under_Construction
96476,Uttarakhand,Haridwar,Locality_55,Independent House,5.0,1370.0,174.64,0.13,2005.0,Semi-furnished,19.0,25.0,20.0,2.0,3.0,High,No,No,"Pool, Garden, Clubhouse, Playground, Gym",East,Owner,Under_Construction
215854,Madhya Pradesh,Indore,Locality_55,Villa,5.0,2523.0,294.15,0.12,2019.0,Furnished,23.0,28.0,6.0,6.0,7.0,High,Yes,Yes,"Playground, Pool, Clubhouse, Gym, Garden",West,Builder,Under_Construction
177202,Telangana,Warangal,Locality_28,Independent House,3.0,1547.0,478.16,0.31,1993.0,Unfurnished,11.0,12.0,32.0,1.0,6.0,Low,No,Yes,"Playground, Gym, Garden, Pool, Clubhouse",South,Owner,Ready_to_Move
200714,Odisha,Cuttack,Locality_410,Apartment,2.0,2922.0,412.28,0.14,2002.0,Unfurnished,9.0,20.0,23.0,2.0,5.0,Medium,No,No,"Garden, Playground, Gym, Pool, Clubhouse",South,Owner,Under_Construction
56712,Andhra Pradesh,Vishakhapatnam,Locality_232,Independent House,3.0,3599.0,334.82,0.09,2006.0,Semi-furnished,8.0,27.0,19.0,9.0,9.0,High,No,No,Playground,West,Builder,Under_Construction
208642,Delhi,New Delhi,Locality_53,Apartment,4.0,3520.0,450.69,0.13,2004.0,Unfurnished,21.0,21.0,21.0,3.0,5.0,Medium,Yes,No,"Pool, Clubhouse, Playground, Garden, Gym",East,Builder,Ready_to_Move
78607,Telangana,Warangal,Locality_491,Villa,1.0,3335.0,224.72,0.07,2003.0,Furnished,13.0,17.0,22.0,6.0,7.0,Low,Yes,Yes,Clubhouse,South,Builder,Under_Construction
